t,X_1,X_2,X_3
0,50000,2500,0
0.25,50123.587995926,2499.97499999987,0
0.5,50247.4775857318,2499.95000024943,0
0.75,50371.6694861685,2499.92500074868,0
1,50496.1644155982,2499.90000149762,0
1.25,50620.9630939951,2499.87500249623,0
1.5,50746.0662429418,2499.85000374452,0
1.75,50871.4745856407,2499.82500524249,0
2,50997.1888469183,2499.80000699013,0
2.25,51123.2097532255,2499.77500898743,0
2.5,51249.5380326342,2499.7500112344,0
2.75,51376.1744148487,2499.72501373103,0
3,51503.1196312101,2499.70001647732,0
3.25,51630.3744146964,2499.67501947327,0
3.5,51757.9394999194,2499.65002271887,0
3.75,51885.8156231357,2499.62502621411,0
4,52014.0035222517,2499.600029959,0
4.25,52142.5039368232,2499.57503395353,0
4.5,52271.3176080524,2499.5500381977,0
4.75,52400.4452787992,2499.52504269151,0
5,52529.8876935861,2499.50004743494,0
5.25,52659.6455985975,2499.47505242801,0
5.5,52789.719741677,2499.4500576707,0
5.75,52920.110872339,2499.42506316301,0
6,53050.8197417727,2499.40006890495,0
6.25,53181.8471028424,2499.37507489649,0
6.5,53313.1937100846,2499.35008113766,0
6.75,53444.8603197187,2499.32508762842,0
7,53576.8476896526,2499.3000943688,0
7.25,53709.1565794817,2499.27510135878,0
7.5,53841.7877504863,2499.25010859835,0
7.75,53974.7419656429,2499.22511608753,0
8,54108.0199896291,2499.20012382629,0
8.25,54241.6225888231,2499.17513181464,0
8.5,54375.5505313008,2499.15014005258,0
8.75,54509.8045868473,2499.12514854011,0
9,54644.3855269616,2499.10015727721,0
9.25,54779.2941248564,2499.07516626389,0
9.5,54914.5311554552,2499.05017550014,0
9.75,55050.0973954033,2499.02518498596,0
10,55185.9936230733,2499.00019472134,0
10.25,55322.2206185645,2498.97520470629,0
10.5,55458.7791636995,2498.9502149408,0
10.75,55595.6700420365,2498.92522542486,0
11,55732.8940388734,2498.90023615848,0
11.25,55870.4519412483,2498.87524714165,0
11.5,56008.3445379356,2498.85025837436,0
11.75,56146.5726194581,2498.82526985662,0
12,56285.1369780918,2498.80028158841,0
